タイトル,アーティスト,アルバム,ファイル名,曲の長さ,First Get wild and Tough,備考
Get Wild,TM NETWORK,Get Wild Song Mafia [Disc 1],1-01 Get Wild.mp3,4:01,1:01,
"Get Wild (""FANKS CRY-MAX"" Version )",TM NETWORK,Get Wild Song Mafia [Disc 1],1-02 Get Wild (_FANKS CRY-MAX_ Version ).mp3,5:36,2:03,
GET WILD '89,TM NETWORK,Get Wild Song Mafia [Disc 1],1-03 GET WILD '89.mp3,6:45,2:05,
"Get Wild (""CAROL TOUR FINAL CAMP FANKS!! '89"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 1],1-04 Get Wild (_CAROL TOUR FINAL CAMP FANKS!! '89_ Version).mp3,7:56,2:27,
"Get Wild (""RHYTHM RED TMN TOUR"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 1],1-05 Get Wild (_RHYTHM RED TMN TOUR_ Version).mp3,6:29,2:19,
"Get Wild (""tour TMN EXPO ARENA FINAL"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 1],1-06 Get Wild (_tour TMN EXPO ARENA FINAL_ Version).mp3,5:42,1:09,
Get Wild (techno overdub mix),TM NETWORK,Get Wild Song Mafia [Disc 1],1-07 Get Wild (techno overdub mix).mp3,6:36,2:06,
"GET WILD '89 (""TMN final live LAST GROOVE 5.18"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 1],1-08 GET WILD '89 (_TMN final live LAST GROOVE 5.18_ Version).mp3,8:36,4:03,
GET WILD DECADE RUN,TM NETWORK,Get Wild Song Mafia [Disc 1],1-09 GET WILD DECADE RUN.mp3,7:00,1:57,
"GET WILD (""LIVE EPIC25"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 1],1-10 GET WILD (_LIVE EPIC25_ Version).mp3,6:16,2:29,
"Get Wild (""DOUBLE-DECADE 'NETWORK'"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-01 Get Wild (_DOUBLE-DECADE 'NETWORK'_ Version).mp3,5:12,1:15,
"Get Wild (""DOUBLE-DECADE TOUR FINAL 'NETWORK'"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-02 Get Wild (_DOUBLE-DECADE TOUR FINAL 'NETWORK'_ Version).mp3,7:18,2:44,
"Get Wild (""REMASTER"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-03 Get Wild (_REMASTER_ Version).mp3,7:04,3:12,
"Get Wild (""Incubation Period"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-04 Get Wild (_Incubation Period_ Version).mp3,5:22,1:16,
"Get Wild (""FINAL MISSION -START investigation-"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-05 Get Wild (_FINAL MISSION -START investigation-_ Version).mp3,6:41,2:58,
Get Wild 2014,TM NETWORK,Get Wild Song Mafia [Disc 2],2-06 Get Wild 2014.mp3,8:15,2:58,
"Get Wild 2014 (""the beginning of the end"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-07 Get Wild 2014 (_the beginning of the end_ Version).mp3,12:04,5:19,
"Get Wild 2014 (""30th 1984～QUIT30"" Version)",TM NETWORK,Get Wild Song Mafia [Disc 2],2-08 Get Wild 2014 (_30th 1984～QUIT30_ Version).mp3,11:16,5:08,
"Get Wild 2014 (""QUIT30 HUGE DATA"" Version) 2015/2/8 さいたまスーパーアリーナ",TM NETWORK,Get Wild Song Mafia [Disc 3],3-01 Get Wild 2014 (_QUIT30 HUGE DATA_ Version) 2015_2_8 さいたまスーパーアリーナ.mp3,19:19,12:06,
Get Wild 2015 -HUGE DATA-,TM NETWORK,Get Wild Song Mafia [Disc 3],3-02 Get Wild 2015 -HUGE DATA-.mp3,11:13,5:10,
"Get Wild 2015 (""30th FINAL"" Version) 2015/3/22 横浜アリーナ",TM NETWORK,Get Wild Song Mafia [Disc 3],3-03 Get Wild 2015 (_30th FINAL_ Version) 2015_3_22 横浜アリーナ.mp3,27:11:00,19:05,
Get Wild,ビクター・ファンタスティック・オーケストラ,Get Wild Song Mafia [Disc 4],4-01 Get Wild.mp3,4:02,1:00,
Get Wild,Dave Rodgers,Get Wild Song Mafia [Disc 4],4-02 Get Wild.mp3,6:23,1:16,
Get Wild,小室みつ子,Get Wild Song Mafia [Disc 4],4-03 Get Wild.mp3,4:40,1:08,
Get Wild (CITY HUNTER SPECIAL'97 VERSION),NAHO,Get Wild Song Mafia [Disc 4],4-04 Get Wild (CITY HUNTER SPECIAL'97 VERSION).mp3,3:50,1:03,
Get Wild,玉置成実,Get Wild Song Mafia [Disc 4],4-05 Get Wild.mp3,4:28,1:02,これだけ「Get Wild and Tough 一人では解けない愛のパズルを抱いて」が14秒ぐらい。ほかは全て約8秒
